Дата операции,Сумма операции,Категория расходов,Описание операции
2025-03-01 10:00:00,2000,Продукты,Перекрёсток
2025-03-01 19:30:00,3500,Еда,Ресторан
2025-03-02 22:00:00,4200,Электроника,Техника для дома
2025-03-03 18:15:00,1500,Транспорт,Каршеринг
2025-03-04 23:45:00,2800,Одежда,Онлайн шоппинг
2025-03-05 20:20:00,1200,Продукты,Супермаркет
2025-03-06 21:30:00,5500,Развлечения,Концерт
2025-03-07 02:15:00,3200,Красота,СПА процедуры
2025-03-08 17:45:00,900,Еда,Доставка еды
2025-03-09 22:30:00,4800,Электроника,Умные часы
2025-03-10 19:00:00,1100,Продукты,Магазин
2025-03-11 23:20:00,2500,Одежда,Онлайн покупка
2025-03-12 20:45:00,1800,Развлечения,Бильярд
2025-03-13 01:00:00,3900,Электроника,Планшет
2025-03-14 18:30:00,1300,Продукты,Супермаркет

