Дата и время,Сумма,Категория,Название операции
2025-04-01 08:30:00,1800,Продукты,Супермаркет Лента
2025-04-01 20:15:00,4200,Еда,Ресторан японской кухни
2025-04-02 22:45:00,5800,Электроника,Смартфон Samsung
2025-04-03 18:00:00,2200,Транспорт,Яндекс.Такси
2025-04-04 23:30:00,3500,Одежда,Интернет-магазин модной одежды
2025-04-05 19:45:00,1400,Продукты,Магазин у дома
2025-04-06 21:20:00,6200,Развлечения,Клуб с друзьями
2025-04-07 01:45:00,2900,Красота,Парикмахерская премиум
2025-04-08 17:30:00,1100,Еда,Доставка бургеров
2025-04-09 22:00:00,5200,Электроника,Игровой компьютер
2025-04-10 20:30:00,1600,Продукты,Супермаркет
2025-04-11 23:15:00,3800,Одежда,Онлайн покупка обуви
2025-04-12 19:00:00,2100,Развлечения,Кино в IMAX
2025-04-13 02:30:00,4500,Электроника,Беспроводные наушники
2025-04-14 18:45:00,1200,Продукты,Магазин

