Дата,Сумма,Категория,Описание
2025-01-15 14:30:00,1500,Продукты,Покупка в супермаркете Пятёрочка
2025-01-15 22:45:00,3500,Электроника,Наушники онлайн Wildberries
2025-01-16 19:20:00,800,Еда,Доставка еды Delivery Club
2025-01-17 03:15:00,2500,Одежда,Онлайн магазин OZON
2025-01-18 18:30:00,1200,Продукты,Супермаркет Ашан
2025-01-19 21:00:00,4500,Развлечения,Ресторан Теремок
2025-01-20 23:30:00,1800,Электроника,Аксессуары для телефона
2025-01-21 20:15:00,900,Еда,Доставка пиццы
2025-01-22 02:00:00,3200,Одежда,Онлайн покупка обуви
2025-01-23 17:45:00,600,Продукты,Магазин у дома
2025-01-24 22:20:00,2800,Красота,Косметика и парфюмерия
2025-01-25 19:45:00,1500,Еда,Кафе Starbucks
2025-01-26 01:30:00,4200,Электроника,Планшет онлайн
2025-01-27 18:00:00,950,Продукты,Супермаркет
2025-01-28 21:30:00,3200,Развлечения,Кинотеатр
2025-01-29 23:45:00,1800,Одежда,Онлайн магазин

